Encoding Date,Form Number,Name,Barangay,Zoning_Code,Lot_Area_sqm,Application Type,Purpose,Assessment Fee
2021-02-04,U-106435,Antonio Bautista,Masaya,R1-Z,188.24,Zoning Certificate,Residential Construction,476.13
2021-02-04,U-369473,Chloe Bautista,Santa Cruz,BR2-SZ,138.0,Zoning Certificate,Residential Construction,423.37
2021-02-05,U-580693,Christian Gonzales,Quilib,R1-Z,318.06,Locational Clearance,Residential Construction,3011.46
2021-02-05,U-058612,Juan Fernandez,Bulihan,,,Zoning Certificate,Subdivision Phase 1,448.89
2021-02-05,U-542152,Teresa Lopez,Masaya,,,Zoning Certificate,Residential Construction,448.87
2021-02-05,U-899231,Chloe Comia,Namuco,I1-Z,1943.56,Zoning Certificate,Industrial Park Expansion,350.6
2021-02-08,U-691670,Agri-Ventures Commercial Center,Macalamcam B,PTA-SZ-RA,6348.28,Development Permit,Bank Financing Requirement,48183.35
2021-02-08,U-696891,Agri-Ventures Logistics Inc.,Bagong Pook,BR2-SZ,129.26,Locational Clearance,Bank Financing Requirement,9856.37
2021-02-08,U-955044,Batangas Enterprises,Bagong Pook,R1-Z,113.03,Locational Clearance,Residential Construction,19929.71
2021-02-08,U-339520,Juan Rodriguez,Balibago,R2-Z,177.36,Locational Clearance,Bank Financing Requirement,5860.53
2021-02-08,U-279000,Christian Alday,Pinagsibaan,,,Zoning Certificate,Industrial Park Expansion,374.08
2021-02-08,U-373656,Ramon Ramos,Pinagsibaan,AgIndZ-PTR,4668.09,Zoning Certificate,Residential Construction,292.35
2021-02-09,U-352308,Luzon Integrated Trading Corp.,Masaya,R1-Z,134.34,Zoning Certificate,Subdivision Phase 1,486.4
2021-02-09,U-211811,Agri-Ventures Trading Corp.,Baybayin,R1-Z,241.74,Zoning Certificate,Bank Financing Requirement,406.7
2021-02-10,U-656000,Jose Cruz,Poblacion E,R2-Z,109.88,Locational Clearance,Residential Construction,8727.06
2021-02-10,U-977404,David Comia,Poblacion C,,,Zoning Certificate,Business Permit Requirement,396.57
2021-02-10,U-114217,Agri-Ventures Commercial Center,Quilib,,,Zoning Certificate,Residential Construction,337.33
2021-02-10,U-191776,Juan Garcia,Itlugan,GI-Z,615.47,Zoning Certificate,Industrial Park Expansion,370.24
2021-02-11,U-052665,Agri-Ventures Enterprises,Balibago,R1-Z,218.38,Development Permit,Subdivision Phase 1,55546.4
2021-02-11,U-547789,Batangas Gold Holdings Inc.,Santa Cruz,R1-Z,118.65,Development Permit,Bank Financing Requirement,100356.67
2021-02-11,U-105353,Emmanuel Perez,Putingkahoy,,,Locational Clearance,Commercial Building Construction,14250.19
2021-02-11,U-749399,Sofia Perez,Putingkahoy,,,Locational Clearance,Land Title Verification,2269.68
2021-02-11,U-395409,David Fernandez,Namuco,,,Locational Clearance,Warehouse/Factory Construction,9172.41
2021-02-11,U-412705,Agri-Ventures Commercial Center,Poblacion A,MR2-SZ,154.41,Locational Clearance,Bank Financing Requirement,10315.16
2021-02-11,U-911113,Jose Sanchez,Masaya,R1-Z,144.53,Locational Clearance,Bank Financing Requirement,13859.13
2021-02-11,U-532299,Batangas Gold Realty & Development,Balibago,C1-Z,392.79,Locational Clearance,Business Permit Requirement,12743.98
2021-02-11,U-851482,Chloe Ramos,Poblacion A,,,Zoning Certificate,Residential Construction,481.17
2021-02-11,U-635961,Chloe Santos,Poblacion C,,,Zoning Certificate,Bank Financing Requirement,455.7
2021-02-15,U-022562,Teresa Torres,Leviste,PTA-SZ-RA,14815.59,Zoning Certificate,Bank Financing Requirement,486.52
2021-02-15,U-090505,Prime Logistics Inc.,Santa Cruz,R1-Z,249.3,Zoning Certificate,Residential Construction,345.53
2021-02-15,U-707684,David Comia,San Carlos,I1-Z,2170.41,Zoning Certificate,Warehouse/Factory Construction,471.79
2021-02-15,U-568770,Christian Garcia,Poblacion A,C2-Z,558.78,Zoning Certificate,Business Permit Requirement,374.64
2021-02-15,U-214524,Mark Mercado,San Isidro,R1-Z,190.38,Zoning Certificate,Bank Financing Requirement,371.59
2021-02-16,U-536404,Maria Mendoza,Macalamcam A,R2-Z,190.77,Locational Clearance,Subdivision Phase 1,18070.11
2021-02-16,U-410929,Danilo Sanchez,Leviste,PTA-SZ-RA,16340.1,Locational Clearance,Residential Construction,6352.74
2021-02-16,U-133321,Agri-Ventures Farms Corp.,Bulihan,AgIndZ,5077.39,Locational Clearance,Industrial Park Expansion,7199.07
2021-02-16,U-869067,Prime Logistics Inc.,Masaya,,,Zoning Certificate,Residential Construction,418.19
2021-02-16,U-968538,Luz Mendoza,Balibago,,,Zoning Certificate,Bank Financing Requirement,328.34
2021-02-16,U-214847,Ramon Comia,San Carlos,,,Zoning Certificate,Bank Financing Requirement,427.67
2021-02-16,U-281673,Danilo Cruz,Bagong Pook,R1-Z,232.61,Zoning Certificate,Bank Financing Requirement,273.7
2021-02-16,U-746758,Batangas Logistics Inc.,Santa Cruz,R1-Z,213.34,Zoning Certificate,Residential Construction,305.26
2021-02-16,U-176313,Corazon Rodriguez,Bagong Pook,GI-Z,3913.6,Zoning Certificate,Environmental Compliance,402.71
2021-02-17,U-790512,Southern Luzon Farms Corp.,Poblacion D,R2-Z,102.29,Locational Clearance,Bank Financing Requirement,3583.44
2021-02-17,U-354909,Danilo Bautista,San Roque,R1-Z,335.32,Locational Clearance,Bank Financing Requirement,14385.93
2021-02-17,U-092197,Grace Gonzales,Calantas,FR-SZ,18858.01,Zoning Certificate,Subdivision Phase 1,468.0
2021-02-17,U-922929,Sofia Macalalad,Alupay,AgIndZ,2657.17,Zoning Certificate,Industrial Park Expansion,464.99
2021-02-17,U-621879,Batangas Trading Corp.,Pinagsibaan,AgIndZ-PGR,8274.9,Zoning Certificate,Bank Financing Requirement,476.54
2021-02-18,U-444157,Prime Farms Corp.,Mavalor,,,Zoning Certificate,Bank Financing Requirement,387.97
2021-02-19,U-871200,Maria Torres,Quilib,T-Z,2819.46,Zoning Certificate,Site Development Permit,313.73
2021-02-19,U-742282,Corazon Garcia,Maligaya,R1-Z,252.5,Zoning Certificate,Bank Financing Requirement,392.98
2021-02-19,U-535712,Jose Perez,Calantas,PDA-SZ,12630.95,Zoning Certificate,Farm Development Permit,259.56
2021-02-19,U-804427,Southern Luzon Enterprises,Antipolo,R1-Z,147.25,Zoning Certificate,Bank Financing Requirement,390.9
2021-02-22,U-152805,Luzon Integrated Holdings Inc.,Namuco,I2-Z,4444.57,Locational Clearance,Environmental Compliance,8612.47
2021-02-22,U-209599,Mark Reyes,San Isidro,R1-Z,187.58,Locational Clearance,Subdivision Phase 1,13432.17
2021-02-22,U-962020,Angel Castillo,San Isidro,,,Zoning Certificate,Commercial Complex Development,396.84
2021-02-22,U-927120,Rosario Commercial Center,Nasi,R2-Z,191.89,Zoning Certificate,Subdivision Phase 1,491.96
2021-02-22,U-150519,Danilo Macalalad,Santa Cruz,C1-Z,440.18,Zoning Certificate,Commercial Complex Development,405.89
2021-02-22,U-975683,Victoria Comia,Alupay,AgIndZ-PGR,6848.59,Zoning Certificate,Bank Financing Requirement,259.94
2021-02-23,U-040508,Mark Lopez,Masaya,R1-Z,231.05,Locational Clearance,Residential Construction,10884.95
2021-02-23,U-410994,Jose Dimaculangan,Bagong Pook,,,Zoning Certificate,Residential Construction,472.5
2021-02-23,U-853692,Prime Enterprises,Quilib,R1-Z,280.33,Zoning Certificate,Subdivision Phase 1,379.15
2021-02-23,U-002392,Mark Reyes,Poblacion A,C2-Z,665.85,Zoning Certificate,Commercial Building Construction,421.2
2021-02-24,U-786939,Agri-Ventures Trading Corp.,Namuco,,,Locational Clearance,Facility/Structure Construction,6717.44
2021-02-24,U-450537,Luz Torres,Poblacion A,,,Zoning Certificate,Bank Financing Requirement,259.98
2021-02-26,U-665340,Luz Mercado,Tulos,,,Locational Clearance,Land Title Verification,10838.45
2021-02-26,U-137982,Angel Perez,Pinagsibaan,,,Locational Clearance,Subdivision Phase 1,7585.99
2021-02-26,U-832522,Maria Mercado,Alupay,I3-Z,6496.14,Locational Clearance,Industrial Park Expansion,2198.05
2021-02-26,U-876992,Benjamin Dimaculangan,Pinagsibaan,I2-Z,2333.49,Locational Clearance,Warehouse/Factory Construction,18415.94
2021-02-26,U-319981,Corazon Torres,Masaya,,,Zoning Certificate,Bank Financing Requirement,499.14
2021-02-26,U-221965,Antonio Lopez,Pinagsibaan,,,Zoning Certificate,Environmental Compliance,460.0
2021-02-26,U-476438,Daniel Cruz,Santa Cruz,R1-Z,154.93,Zoning Certificate,Bank Financing Requirement,450.25
2021-02-26,U-376523,Luzon Integrated Logistics Inc.,Alupay,CMRF,1076.56,Zoning Certificate,Facility/Structure Construction,412.5
2021-03-01,U-330186,Emmanuel Alday,Masaya,PDA-SZ,17647.97,Locational Clearance,Farm Development Permit,1684.41
2021-03-01,U-011919,Daniel Bautista,San Carlos,I3-Z,11468.45,Locational Clearance,Warehouse/Factory Construction,19029.36
2021-03-01,U-122446,Jose Fernandez,Putingkahoy,PTA-SZ-RA,13615.52,Locational Clearance,Residential Construction,13995.07
2021-03-01,U-325716,Grace Bautista,Namunga,BR2-SZ,141.53,Locational Clearance,Subdivision Phase 1,11598.98
2021-03-01,U-726138,Daniel Garcia,Alupay,AgIndZ,5691.12,Locational Clearance,Warehouse/Factory Construction,5423.92
2021-03-01,U-051840,Luz Mendoza,Cahigam,,,Zoning Certificate,Bank Financing Requirement,313.19
2021-03-01,U-935446,Chloe Comia,Calantas,FR-SZ,16569.01,Zoning Certificate,Residential Construction,400.3
2021-03-02,U-183866,Agri-Ventures Farms Corp.,Bayawang,,,Locational Clearance,Warehouse/Factory Construction,9999.66
2021-03-02,U-330097,Antonio Reyes,Pinagsibaan,AgIndZ,3983.14,Locational Clearance,Warehouse/Factory Construction,21778.45
2021-03-02,U-550136,Teresa Sanchez,Bagong Pook,R1-Z,340.74,Locational Clearance,Bank Financing Requirement,4454.68
2021-03-02,U-831350,Mark Mendoza,Santa Cruz,BR2-SZ,83.35,Zoning Certificate,Residential Construction,469.11
2021-03-03,U-620484,Prime Commercial Center,Santa Cruz,R2-Z,146.25,Development Permit,Subdivision Phase 1,63463.53
2021-03-03,U-207982,Victoria Reyes,Quilib,R2-Z,222.63,Locational Clearance,Residential Construction,2400.19
2021-03-03,U-277079,Juan Gonzales,Tulos,FZ,5298.88,Locational Clearance,General Property Clearance,10243.29
2021-03-03,U-332464,Angel Comia,Calantas,PTA-SZ-RA,5643.36,Locational Clearance,Bank Financing Requirement,1785.19
2021-03-03,U-761796,Daniel Cruz,Baybayin,R1-Z,138.7,Locational Clearance,Residential Construction,11858.1
2021-03-04,U-062696,Teresa Sanchez,Pinagsibaan,I1-Z,2708.4,Locational Clearance,Warehouse/Factory Construction,8072.72
2021-03-04,U-738828,Teresa Garcia,Calantas,ECT-Z,3024.28,Locational Clearance,Commercial Building Construction,11990.92
2021-03-04,U-716056,Emmanuel Lopez,Santa Cruz,C1-Z,282.46,Locational Clearance,Commercial Building Construction,14399.93
2021-03-04,U-234941,Emmanuel Gonzales,Bagong Pook,R1-Z,105.83,Locational Clearance,Subdivision Phase 1,6187.83
2021-03-04,U-859097,Southern Luzon Farms Corp.,Matamis,R1-Z,338.95,Locational Clearance,Subdivision Phase 1,5314.12
2021-03-05,U-088985,Teresa Lopez,Masaya,,,Locational Clearance,Residential Construction,12209.28
2021-03-05,U-773714,Victoria Perez,Pinagsibaan,I2-Z,5342.94,Locational Clearance,Environmental Compliance,16332.85
2021-03-05,U-792326,Batangas Gold Enterprises,Alupay,CMRF,702.63,Locational Clearance,Site Development Permit,12670.95
2021-03-05,U-776886,Batangas Gold Enterprises,Bulihan,R2-Z,188.59,Locational Clearance,Residential Construction,19652.87
2021-03-05,U-135049,Emmanuel Mendoza,Alupay,UTS-Z,2987.71,Locational Clearance,General Property Clearance,21203.84
2021-03-05,U-347599,Jose Mendoza,Masaya,R2-Z,104.03,Locational Clearance,Subdivision Phase 1,21638.78
2021-03-05,U-182499,Jose Torres,Quilib,R1-Z,230.84,Locational Clearance,Bank Financing Requirement,7108.87
2021-03-05,U-400572,Sofia Dimaculangan,Balibago,R1-Z,298.56,Zoning Certificate,Subdivision Phase 1,379.88
2021-03-08,U-771234,Chloe Mendoza,Pinagsibaan,I1-Z,2384.83,Development Permit,Environmental Compliance,102446.92
2021-03-08,U-346574,Sofia Fernandez,Alupay,CMRF,1970.67,Development Permit,Facility/Structure Construction,32515.06
2021-03-08,U-175207,Angel Rodriguez,Poblacion E,,,Locational Clearance,Bank Financing Requirement,7163.52
2021-03-08,U-022525,Mark Rodriguez,Masaya,R2-Z,88.21,Locational Clearance,Subdivision Phase 1,1879.21
2021-03-08,U-612569,Prime Logistics Inc.,Poblacion A,C1-Z,383.02,Locational Clearance,Commercial Building Construction,5982.82
2021-03-08,U-403666,Ramon Gonzales,Namunga,C1-Z,438.56,Zoning Certificate,Commercial Building Construction,440.77
2021-03-09,U-821436,Rosario Realty & Development,Poblacion E,R2-Z,145.41,Locational Clearance,Bank Financing Requirement,14458.63
2021-03-09,U-656187,Christian Santos,Poblacion C,R1-Z,182.17,Locational Clearance,Residential Construction,2758.07
2021-03-09,U-119754,Batangas Gold Realty & Development,San Roque,,,Zoning Certificate,Residential Construction,413.59
2021-03-09,U-412107,Prime Realty & Development,San Jose,,,Zoning Certificate,Bank Financing Requirement,411.65
2021-03-09,U-386802,Sofia Perez,Namuco,UTS-Z,507.52,Zoning Certificate,General Property Clearance,304.55
2021-03-10,U-913277,Grace Cruz,Santa Cruz,,,Locational Clearance,Bank Financing Requirement,6168.07
